Ciudad,Bodega,Código,Nombre,Cantidad,P.Ult.Comp,Costo Lista,Tipo,Línea
P. Arenas                ,B1  ,3814617                        ,CARPETA ADIX CON ELASTICO AMARILLA,41,506,573,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3814648                        ,SACAPUNTA JM ACHAFLANADO SIMPLE,10,63,63,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3814840                        ,ROLLO TERMICO 80X80 48GR,834,888,888,BLOQUEO-C,PAPELES OFICINA                         
P. Arenas                ,B1  ,3814855                        ,MARCADOR DOM PERMANENTE PUNTA REDONDA AZUL,123,250,250,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,3814856                        ,MARCADOR DOM PERMANENTE PUNTA REDONDA NEGRO,21,250,250,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,4100420                        ,TARJETA POSTAL LISA 225GR,200,10,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,4502105                        ,PAPEL FOTOGRAFICO ADETEC A4 20HJ 180GR BR,1,1218,1369,DE SALIDA,PAPELES OFICINA                         
P. Arenas                ,B1  ,4560010                        ,VIRUTEX PLUMERO ELECTROESTATICO,12,2231.9166,2232,BLOQUEO-L,ASEO                                    
P. Arenas                ,B1  ,5001027                        ,CINTA 3M MAGICA 18X10MT BOLSA,13,857,857,BLOQUEO-L,LIBRERÍA                                
P. Arenas                ,B1  ,5003001                        ,(CENTRO MENSAJE 3M BURDEO),14,8324,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,5350004                        ,CUADERNO CALIGRAFIX VERTICAL 4B,5,2516,2768,A PEDIDO,EDUCACIÓN                               
P. Arenas                ,B1  ,6000459                        ,LAPIZ COLOR ARTEL 24 COLOR LARGO HEXAGONAL,28,1307,1306,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002338                        ,LAPIZ ALCOHOL ARTEL 6 COLOR,15,416,340,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002405                        ,LAPIZ GRAFITO ARTEL 4B,6,83,115,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002455                        ,PINCEL ARTEL 103 Nº5,233,255,218,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002459                        ,PINCEL ARTEL 577 Nº14,205,316,261,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002532                        ,PINCEL ARTEL 577 Nº8,101,241,197,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6002533                        ,PINCEL ARTEL 577 Nº12,121,316,261,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6003216                        ,(BLOCK DIBUJO ARTEL 180 1/4 180GR 20HJ),30,3594,3106,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6003502                        ,LAPIZ GRAFITO FABER TRIANGULAR 1205 Nº2,157,139.25,139.25,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,6003515                        ,((LA.PORTAMINA PENTEL SHARPLET II 0.5 NEGRO)),4,837,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6003645                        ,TEMPERA ARTEL METALICA 6 COLOR 15ML,18,1255,1156,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6003930                        ,LAPIZ ALCOHOL ARTEL 12 COLOR MAXI,3,1874,1225,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6004315                        ,TEMPERA ARTEL 500ML AMARILLO LIMON,27,1569,1744,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,6004876                        ,MINA PENTEL 0.5MM 2H,6,265,295,DESCONTINUADO,LIBRERÍA                                
P. Arenas                ,B1  ,6006031                        ,REGLA PLASTICA ROTRING 40CM,6,1132,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6008017                        ,CARTULINA ARTEL VERDE OSCURO 53X75CM,9,138,226,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6008051                        ,CARTON FORRADO ARTEL 53X75CM AMARILLO MEDIO,63,463,459,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,6540998                        ,CARTRIDGE EPSON PP-100 C13S020448 LIGTH CYAN,1,17367,23070.36,DE SALIDA,SUMINISTROS COMPUTACIONALES             
P. Arenas                ,B1  ,6806548                        ,ETIQUETA AVERY INKJET 27.9X21.6 25HJS TRANSP,4,12600,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,7002231                        ,"MAQ. DISPENSADORA MAGIC CLIP SELLOFFICE 4,8CM",3,826,826,BLOQUEO-C,LIBRERÍA                                
P. Arenas                ,B1  ,7002521                        ,MARCADOR MON AMI HIGHPER-B ALUMINIO AZUL,3,91,667,DESCONTINUADO,LIBRERÍA                                
P. Arenas                ,B1  ,7270170                        ,(TAPA BASURERO DURABLE 60 LT C/ASAS BLANCO),1,5200,0,DESCONTINUADO,ASEO                                    
P. Arenas                ,B1  ,8604562                        ,GALLETA COSTA OBSESION 85GR,17,510,510,STOCK,ALIMENTOS                               
P. Arenas                ,B1  ,8604752                        ,FIDEO CAROZZI TALLARIN  N°87  5KG,30,5399.9166,5400,DE SALIDA,ALIMENTOS                               
P. Arenas                ,B1  ,8605239                        ,NECTAR ANDINA DURAZNO LIGHT 1.5LT,12,1252.1,1071,A PEDIDO,ALIMENTOS                               
P. Arenas                ,B1  ,8605529                        ,NECTAR ANDINA DAMASCO 1.5LT,3,1256.333,1071,A PEDIDO,ALIMENTOS                               
P. Arenas                ,B1  ,8609565                        ,LECHE COLUN CHOCOLATE 200CC,16,361,219,COMPRA LOC          ,ALIMENTOS                               
LS - Barrio Industrial   ,B14,1300039                        ,DESODORANTE AMB AROM LLUVIA FLORES 360 CC 225 GR,120,992,992,STOCK,ASEO                                    
LS - Barrio Industrial   ,B14,1300289                        ,BOLSA BASURA VTX PRO TRANSPARENTE 120X140 10U,7,5920,5920,BLOQUEO-L,ASEO                                    
LS - Barrio Industrial   ,B14,1300910                        ,GUANTE NITRILO VIRUTEX TALLA L 100UN,1,4333,4235,DESCONTINU,ASEO                                    
LS - Barrio Industrial   ,B14,1301140                        ,TOALLA DE PAPEL TECNOPAPEL INTERF D/H 200UN,2,845,845,QUIEBRE-C,ASEO                                    
